time,total
02-08-2021,268715
03-08-2021,3987
04-08-2021,0
05-08-2021,0
06-08-2021,265550
07-08-2021,261460
08-08-2021,0
09-08-2021,796508
10-08-2021,848112
11-08-2021,903163
12-08-2021,960083
13-08-2021,998154
14-08-2021,966332
15-08-2021,782016
16-08-2021,851536
17-08-2021,867698
18-08-2021,919870
19-08-2021,941177
20-08-2021,1006956
21-08-2021,919332
22-08-2021,752898
23-08-2021,811871
24-08-2021,978835
25-08-2021,1199404
26-08-2021,1353348
27-08-2021,1579860
28-08-2021,1493598
29-08-2021,1198811
30-08-2021,1348334
31-08-2021,1397493
01-09-2021,1653794
02-09-2021,2373894
03-09-2021,2415128
04-09-2021,2299748
05-09-2021,177030
06-09-2021,1968098
07-09-2021,3966728
08-09-2021,4215316
09-09-2021,3295075
10-09-2021,2429023
11-09-2021,2250801
12-09-2021,1816928
